team,age,name,position_yahoo,rollup,vorp,vorn,round,pick,rank,arbitrage,target
NYI,32.0,Semyon Varlamov,G,71.7,-3.0,16.2,14.0,165.0,86.0,79.0,False
Tor,23.0,Mitchell Marner,RW,40.4,-3.1,-6.3,2.0,18.0,87.0,-69.0,False
NYR,29.0,Chris Kreider,LW,42.4,-3.2,13.2,12.0,139.5,88.0,51.5,False
Cls,25.0,Oliver Bjorkstrand,"LW,RW",40.2,-3.4,12.9,21.0,250.5,89.0,161.5,False
Car,,Teuvo Teravainen,"LW,RW",40.1,-3.4,1.2,4.0,44.0,90.0,-46.0,False
Dal,26.0,Esa Lindell,D,36.6,-3.6,-9.2,21.0,242.5,91.0,151.5,False
TB,24.0,Brayden Point,C,43.4,-3.8,-8.0,2.0,19.5,92.0,-72.5,False
NJ,29.0,Kyle Palmieri,RW,39.7,-3.8,1.1,10.0,108.0,93.0,15.0,False
Mon,28.0,Brendan Gallagher,RW,39.7,-3.8,-1.4,7.0,73.0,94.0,-21.0,False
StL,29.0,Brayden Schenn,"C,RW",39.7,-3.9,-1.4,7.0,79.0,95.0,-16.0,False
Van,31.0,Braden Holtby,G,70.7,-4.0,-1.2,9.0,101.0,96.0,5.0,False
