team,age,name,line,ppu,position_yahoo,position,rollup,vorp,yahoo_rank,rp,rp_vorp,rp_arbitrage,round
Min,24.0,Kevin Fiala,2.0,1.0,"LW,RW",RW,43.2,-7.8,138.5,41.0,34.0,7.0,12.0
Cgy,,Jacob Markstrom,,,G,G,52.2,-10.1,138.5,22.0,21.0,1.0,12.0
Min,24.0,Kevin Fiala,2.0,1.0,"LW,RW",LW,43.2,-10.5,138.5,47.0,38.0,9.0,12.0
Ott,,Evgenii Dadonov,1.0,1.0,"LW,RW",RW,41.5,-9.5,139.0,42.0,40.0,2.0,12.0
Ott,,Evgenii Dadonov,1.0,1.0,"LW,RW",LW,41.5,-12.2,139.0,48.0,43.0,5.0,12.0
Mon,26.0,Josh Anderson,2.0,2.0,RW,RW,42.2,-8.8,141.0,43.0,38.0,5.0,12.0
Cls,25.0,Oliver Bjorkstrand,1.0,2.0,"LW,RW",LW,44.8,-8.9,142.0,49.0,32.5,16.5,12.0
Cls,25.0,Oliver Bjorkstrand,1.0,2.0,"LW,RW",RW,44.8,-6.2,142.0,44.0,27.5,16.5,12.0
VGK,,Marc-Andre Fleury,,,G,G,41.9,-20.4,142.5,23.0,27.0,-4.0,12.0
Van,,Quinn Hughes,2.0,1.0,D,D,36.5,-3.5,144.5,25.5,36.0,-10.5,13.0
Buf,,Rasmus Dahlin,2.0,1.0,D,D,37.3,-2.8,144.5,25.5,32.0,-6.5,13.0
LA,36.0,Dustin Brown,1.0,1.0,RW,RW,42.0,-9.0,145.5,45.0,39.0,6.0,13.0
Mon,27.0,Phillip Danault,1.0,,C,C,40.0,-15.1,146.5,42.0,40.0,2.0,13.0
Phi,31.0,Jakub Voracek,3.0,2.0,RW,RW,40.3,-10.7,147.5,46.0,47.0,-1.0,13.0
StL,29.0,Vladimir Tarasenko,,,RW,RW,37.6,-13.4,148.0,47.0,59.0,-12.0,13.0
Buf,28.0,Jeff Skinner,2.0,2.0,LW,LW,37.0,-16.8,148.5,50.0,62.0,-12.0,13.0
Tor,28.0,Zach Hyman,3.0,,"C,LW",LW,41.8,-12.0,152.0,51.0,42.0,9.0,13.0
Tor,28.0,Zach Hyman,3.0,,"C,LW",C,41.8,-13.3,152.0,43.0,35.0,8.0,13.0
Nsh,29.0,Matt Duchene,2.0,1.0,"C,RW",C,35.3,-19.7,153.5,44.0,55.0,-11.0,13.0
Nsh,29.0,Matt Duchene,2.0,1.0,"C,RW",RW,35.3,-15.7,153.5,48.0,70.5,-22.5,13.0
Bos,23.0,Charlie McAvoy,1.0,2.0,D,D,38.4,-1.7,156.5,27.0,25.5,1.5,14.0
Cgy,37.0,Mark Giordano,1.0,1.0,D,D,40.6,0.5,159.5,28.0,20.0,8.0,14.0
Fla,24.0,Aaron Ekblad,1.0,1.0,D,D,36.2,-3.9,161.0,29.0,41.0,-12.0,14.0
Buf,26.0,Rasmus Ristolainen,1.0,2.0,D,D,37.2,-2.9,163.5,30.0,33.0,-3.0,14.0
Fla,34.0,Keith Yandle,2.0,2.0,D,D,35.6,-4.5,164.0,31.0,43.0,-12.0,14.0
Pit,28.0,Bryan Rust,2.0,1.0,"LW,RW",LW,46.8,-6.9,166.5,52.0,28.5,23.5,14.0
Edm,25.0,Darnell Nurse,1.0,2.0,D,D,38.2,-1.9,166.5,32.0,27.5,4.5,14.0
Pit,28.0,Bryan Rust,2.0,1.0,"LW,RW",RW,46.8,-4.2,166.5,49.0,19.0,30.0,14.0
Anh,27.0,Rickard Rakell,1.0,1.0,"LW,RW",RW,40.8,-10.2,167.5,50.0,43.0,7.0,14.0
Anh,27.0,Rickard Rakell,1.0,1.0,"LW,RW",LW,40.8,-12.9,167.5,53.0,45.0,8.0,14.0
SJ,30.0,Erik Karlsson,2.0,2.0,D,D,37.9,-2.2,169.5,33.5,29.5,4.0,15.0
