position,name,ros_total,ros_mean,week_points
WR,Arrelious Benn,8.1,0.7363636363636363,0.9
WR,Bennie Fowler,25.5,2.55,2.3
WR,Bradley Marquez,3.9000000000000004,0.39,0.4
WR,Brandin Cooks,121.2,11.018181818181818,10.1
WR,Brandon Coleman,36.7,3.3363636363636364,3.5
WR,Brandon Gibson,5.7,0.57,0.6
WR,Brandon LaFell,65.6,6.56,6.8
WR,Brandon Marshall,118.9,11.89,12.0
WR,Brandon Tate,10.8,1.08,1.1
WR,Braxton Miller,12.7,1.27,1.0
WR,Brenton Bersin,3.4,0.34,NA
WR,Breshad Perriman,28.5,2.85,3.1
WR,Brian Quick,39.199999999999996,3.92,4.0
WR,Brice Butler,29.0,2.9,NA
WR,Bryan Walters,16.9,1.5363636363636364,1.8
WR,Cameron Meredith,60.7,6.07,12.5
WR,Cecil Shorts,15.399999999999999,1.4,1.4
WR,Charles Johnson,34.1,3.1,2.9
WR,Charone Peake,4.0,0.4,0.4
WR,Chester Rogers,21.0,2.1,3.0
WR,Chris Conley,46.1,4.190909090909091,4.4
WR,Chris Harper,-2.19,-0.219,-0.21
WR,Chris Hogan,51.5,5.15,5.1
WR,Chris Moore,3.8000000000000003,0.38,0.4
WR,Chris Owusu,3.6999999999999997,0.37,0.3
WR,Cody Core,3.0,0.3,0.3
WR,Cody Latimer,7.7,0.77,0.7
WR,Cole Beasley,73.4,7.34,NA
WR,Cordarrelle Patterson,1.08,0.09818181818181819,0.1
WR,Corey Coleman,117.1,13.011111111111111,NA
WR,Corey Fuller,13.5,1.35,1.4
WR,Danny Amendola,41.5,4.15,4.0
WR,Darrius Heyward-Bey,19.5,1.95,1.9
WR,Davante Adams,57.9,5.263636363636364,5.3
WR,De'Anthony Thomas,15.0,1.3636363636363635,1.4
WR,DeAndre Hopkins,115.2,11.52,9.3
WR,Demaryius Thomas,100.7,10.07,9.1
WR,Deonte Thompson,2.8,0.27999999999999997,0.3
WR,DeSean Jackson,68.2,6.82,7.2
WR,DeVante Parker,74.7,7.47,7.3
WR,Devin Funchess,46.2,4.62,NA
WR,Devin Hester,-2.04,-0.20400000000000001,-0.18
WR,Devin Smith,16.7,1.67,1.7
WR,Dez Bryant,79.7,7.97,NA
WR,Donte Moncrief,58.5,6.5,NA
WR,Donteea Dye,11.4,1.0363636363636364,1.0
WR,Dontrelle Inman,55.8,5.58,5.8
WR,Dorial Green-Beckham,34.5,3.1363636363636362,2.7
WR,Doug Baldwin,112.7,10.245454545454546,10.1
WR,Dwayne Harris,13.399999999999999,1.3399999999999999,1.4
WR,Eddie Royal,47.0,5.222222222222222,NA
WR,Eli Rogers,26.1,2.6100000000000003,2.5
WR,Emmanuel Sanders,79.5,7.95,7.2
WR,Eric Weems,2.0,0.2,0.2
WR,Golden Tate,82.8,8.28,9.4
WR,Greg Little,0.21,0.021,0.02
WR,Griff Whalen,6.199999999999999,0.62,0.6
WR,Harry Douglas,17.3,1.73,1.7
WR,Isaiah Burse,2.0,0.2,0.2
WR,J.J. Nelson,16.0,1.5999999999999999,1.4
WR,Jaelen Strong,23.2,2.32,1.9
WR,Jalin Marshall,35.9,3.59,3.6
WR,James Wright,3.0,0.3,0.3
WR,Jamison Crowder,62.1,6.21,6.6
WR,Jared Abbrederis,12.6,1.26,NA
WR,Jarius Wright,18.4,1.6727272727272728,1.5
WR,Jaron Brown,18.2,1.82,1.6
