source,fetched_at,team,position,name,goals,assists,plus_minus,powerplay_points,shots_on_goal,hits,blocks,wins,saves,save_percentage,goals_against_average,shutouts
Daily Faceoff,2021-01-07 08:20:37.590158,CHI,C/RW,Dylan Strome,13.3,26.0,1.4,10.0,103.4,17.4,33.8,,,,,
Daily Faceoff,2021-01-07 08:20:37.590158,OTT,LW,Tim Stuetzle,9.0,23.5,-4.7,6.7,78.7,10.1,21.0,,,,,
Daily Faceoff,2021-01-07 08:20:37.590158,FLA,D,Keith Yandle,4.3,28.3,-2.8,15.3,109.4,19.0,48.5,,,,,
Daily Faceoff,2021-01-07 08:20:37.590158,LAK,RW,Dustin Brown,13.5,19.0,0.7,6.3,138.7,125.0,20.1,,,,,
Daily Faceoff,2021-01-07 08:20:37.590158,BOS,D,Charlie McAvoy,5.9,26.4,17.7,7.6,79.9,110.6,93.9,,,,,
Daily Faceoff,2021-01-07 08:20:37.590158,ANA,C/LW,Adam Henrique,16.2,16.0,0.7,8.3,105.5,51.1,39.1,,,,,
Daily Faceoff,2021-01-07 08:20:37.590158,EDM,LW/RW,Dominik Kahun,11.8,20.2,7.3,1.7,105.4,8.5,23.1,,,,,
Daily Faceoff,2021-01-07 08:20:37.590158,BUF,LW,Jeff Skinner,19.3,12.6,-8.7,6.8,177.4,23.6,13.8,,,,,
Daily Faceoff,2021-01-07 08:20:37.590158,TOR,C/LW,Zach Hyman,14.0,17.9,14.0,1.5,116.9,79.6,34.4,,,,,
Daily Faceoff,2021-01-07 08:20:37.590158,EDM,RW,Jesse Puljujarvi,14.4,17.4,-3.7,3.8,159.2,64.1,30.2,,,,,
Daily Faceoff,2021-01-07 08:20:37.590158,VGK,D,Shea Theodore,8.0,23.9,4.8,9.0,145.0,21.6,67.0,,,,,
Daily Faceoff,2021-01-07 08:20:37.590158,ARI,LW/RW,Conor Garland,19.5,12.2,1.0,8.6,153.3,32.8,20.5,,,,,
Daily Faceoff,2021-01-07 08:20:37.590158,DET,LW/RW,Bobby Ryan,12.3,19.3,-8.0,6.7,116.9,79.8,42.3,,,,,
Daily Faceoff,2021-01-07 08:20:37.590158,TOR,C,Joe Thornton,8.5,23.1,-5.9,9.5,60.8,19.4,17.2,,,,,
Daily Faceoff,2021-01-07 08:20:37.590158,MTL,D,Shea Weber,12.1,19.5,8.6,8.4,147.8,81.3,79.1,,,,,
Daily Faceoff,2021-01-07 08:20:37.590158,DET,LW/RW,Robby Fabbri,13.9,17.6,-10.1,6.9,108.7,66.6,13.6,,,,,
Daily Faceoff,2021-01-07 08:20:37.590158,ARI,C,Derek Stepan,12.6,18.8,-3.3,6.8,132.4,34.2,37.5,,,,,
Daily Faceoff,2021-01-07 08:20:37.590158,NYR,RW,Kaapo Kakko,13.9,17.5,-9.5,7.5,132.6,17.8,9.8,,,,,
Daily Faceoff,2021-01-07 08:20:37.590158,DAL,LW/RW,Denis Gurianov,18.7,12.6,3.1,8.7,138.2,46.8,13.4,,,,,
Daily Faceoff,2021-01-07 08:20:37.590158,FLA,RW,Owen Tippett,14.5,16.5,-7.2,5.3,151.0,32.0,43.2,,,,,
Daily Faceoff,2021-01-07 08:20:37.590158,CGY,D,Mark Giordano,8.2,22.8,11.7,9.3,130.3,47.5,111.7,,,,,
Daily Faceoff,2021-01-07 08:20:37.590158,NJD,LW/RW,Jesper Bratt,11.4,19.5,-6.7,7.0,89.5,33.4,20.2,,,,,
Daily Faceoff,2021-01-07 08:20:37.590158,TBL,LW/RW,Alex Killorn,12.9,18.0,15.2,6.5,113.5,59.2,16.3,,,,,
Daily Faceoff,2021-01-07 08:20:37.590158,TBL,LW/RW,Yanni Gourde,12.5,18.4,9.2,6.1,82.4,47.8,20.2,,,,,
Daily Faceoff,2021-01-07 08:20:37.590158,NYR,D,Tony DeAngelo,7.0,23.9,7.8,12.1,112.5,44.1,60.2,,,,,
Daily Faceoff,2021-01-07 08:20:37.590158,PHI,LW,James van Riemsdyk,15.3,15.6,-2.1,7.5,128.5,23.8,13.7,,,,,
Daily Faceoff,2021-01-07 08:20:37.590158,TOR,LW,Nicholas Robertson,14.9,15.9,-2.8,4.5,104.1,29.7,14.9,,,,,
Daily Faceoff,2021-01-07 08:20:37.590158,MTL,D,Jeff Petry,8.7,22.2,-7.1,11.1,122.4,128.6,81.9,,,,,
Daily Faceoff,2021-01-07 08:20:37.590158,LAK,D,Drew Doughty,7.1,23.7,-3.4,13.7,117.8,91.7,76.8,,,,,
Daily Faceoff,2021-01-07 08:20:37.590158,CAR,LW/RW,Nino Niederreiter,13.3,17.5,4.6,8.1,111.4,58.4,14.2,,,,,
Daily Faceoff,2021-01-07 08:20:37.590158,MTL,LW/RW,Tyler Toffoli,15.9,14.6,-1.9,6.6,154.6,36.8,12.7,,,,,
Daily Faceoff,2021-01-07 08:20:37.590158,OTT,C/LW,Alex Galchenyuk,12.1,18.4,-14.5,13.3,99.9,38.7,23.2,,,,,
