ADP,PLAYER,POS,TEAM,GP,TOI,G,A,P,+/-,SOG,HIT,BLK,PPP,GWG,SHO,W,SV%,GAA,SV,SA,TOTAL
167.0,Eric Comrie,G,BUF,22,60.0,,,,,,,,,,0.02,0.36,0.917 (28.4/31.0),2.66,28.42,31.00,-0.72
167.0,Colton Parayko,D,STL,72,22.7,0.09,0.47,0.56,0.10,1.87,1.05,1.96,0.04,0.02,,,(/),,,,-0.89
167.1,Blake Wheeler,RW,WPJ,73,19.4,0.29,0.56,0.85,-0.11,2.32,0.93,0.58,0.30,0.02,,,(/),,,,1.59
167.1,Boone Jenner,C,CBJ,74,18.6,0.31,0.51,0.82,-0.14,2.17,1.40,0.86,0.07,0.03,,,(/),,,,0.08
167.3,Josh Morrissey,D,WPJ,76,23.1,0.14,0.39,0.54,0.00,1.74,1.62,1.42,0.15,0.02,,,(/),,,,-0.99
167.9,Jake DeBrusk,"LW,RW",BOS,70,15.3,0.31,0.34,0.66,0.04,2.26,0.67,0.31,0.09,0.06,,,(/),,,,0.14
168.6,Anthony Duclair,RW,FLO,24,15.0,0.33,0.46,0.79,0.48,2.25,0.71,0.38,0.21,0.11,,,(/),,,,7.75
168.9,Anthony Stolarz,G,ANA,27,60.0,,,,,,,,,,0.05,0.48,0.912 (26.5/29.1),2.78,26.49,29.05,-0.84
169.0,Jared McCann,"C,LW",SEA,71,15.0,0.34,0.49,0.83,-0.02,2.53,0.89,0.40,0.18,0.02,,,(/),,,,0.85
169.0,Seth Jarvis,"LW,RW",CAR,78,13.9,0.23,0.41,0.64,0.14,2.10,0.92,0.27,0.08,0.05,,,(/),,,,-0.47
169.0,Nino Niederreiter,LW,NSH,77,15.3,0.26,0.35,0.61,0.19,1.92,1.10,0.23,0.10,0.04,,,(/),,,,-1.09
169.0,Mark Giordano,D,TOR,76,22.7,0.09,0.37,0.46,-0.01,2.00,0.80,1.78,0.16,0.01,,,(/),,,,-2.12
169.2,Rickard Rakell,"LW,RW",PIT,73,18.1,0.29,0.42,0.71,-0.07,2.65,1.25,0.56,0.13,0.02,,,(/),,,,-0.46
169.2,Ryan Johansen,C,NSH,76,17.3,0.21,0.46,0.67,-0.02,1.36,0.81,0.37,0.24,0.04,,,(/),,,,-0.76
169.4,Alex Killorn,"LW,RW",TBL,81,17.7,0.30,0.48,0.78,0.10,1.90,1.00,0.26,0.14,0.03,,,(/),,,,-0.13
169.6,Logan Couture,C,SJS,74,18.9,0.29,0.36,0.65,-0.09,2.20,0.92,0.68,0.17,0.03,,,(/),,,,-0.63
170.3,Nick Schmaltz,"C,RW",ARI,76,17.3,0.34,0.51,0.86,0.01,1.97,0.17,0.42,0.24,0.03,,,(/),,,,0.53
170.3,Dmitry Orlov,D,WSH,77,21.1,0.10,0.27,0.37,0.19,1.39,1.58,1.14,0.04,0.02,,,(/),,,,-3.11
170.5,Erik Johnson,D,COL,55,18.2,0.09,0.22,0.31,0.20,1.78,2.00,1.78,0.01,0.02,,,(/),,,,-2.31
170.7,Mikael Granlund,C,NSH,76,19.3,0.20,0.54,0.74,-0.05,1.61,0.79,0.60,0.21,0.03,,,(/),,,,-0.49
