source,fetched_at,team,position,name,goals,assists,plus_minus,powerplay_points,shots_on_goal,hits,blocks,wins,saves,save_percentage,goals_against_average,shutouts
CBS,2021-01-07 08:20:41.125491,EDM,RW,Zack Kassian,14.88,18.25,1.44,0.0,88.49,,,,,,,
CBS,2021-01-07 08:20:41.125491,ANA,C,Rickard Rakell,12.51,22.92,-1.89,6.2,145.65,,,,,,,
CBS,2021-01-07 08:20:41.125491,PHI,LW,Oskar Lindblom,20.45,10.89,2.31,4.62,125.8,,,,,,,
CBS,2021-01-07 08:20:41.125491,TOR,RW,Wayne Simmonds,8.8,17.78,11.98,5.76,100.27,,,,,,,
CBS,2021-01-07 08:20:41.125491,NJ,LW,Jesper Bratt,16.35,15.71,5.9,3.17,89.06,,,,,,,
CBS,2021-01-07 08:20:41.125491,FLA,RW,Patric Hornqvist,16.52,15.09,-5.14,4.64,180.85,,,,,,,
CBS,2021-01-07 08:20:41.125491,BOS,C,Craig Smith,14.61,10.32,12.89,3.52,159.88,,,,,,,
CBS,2021-01-07 08:20:41.125491,COL,RW,Joonas Donskoi,15.81,15.65,3.11,2.55,101.44,,,,,,,
CBS,2021-01-07 08:20:41.125491,VAN,LW,Tanner Pearson,15.65,17.33,-2.36,3.09,112.92,,,,,,,
CBS,2021-01-07 08:20:41.125491,NYI,LW,Anthony Beauvillier,17.02,15.83,-5.56,4.99,125.03,,,,,,,
CBS,2021-01-07 08:20:41.125491,LV,RW,Keegan Kolesar,13.54,16.39,5.03,3.57,123.62,,,,,,,
CBS,2021-01-07 08:20:41.125491,DET,LW,Tyler Bertuzzi,15.02,17.99,-9.53,5.09,77.68,,,,,,,
CBS,2021-01-07 08:20:41.125491,DAL,RW,Denis Gurianov,18.69,10.26,-0.79,5.68,105.81,,,,,,,
CBS,2021-01-07 08:20:41.125491,ANA,LW,Jakob Silfverberg,16.7,14.5,-1.89,4.26,116.08,,,,,,,
CBS,2021-01-07 08:20:41.125491,BOS,RW,Ondrej Kase,8.17,22.48,12.89,1.22,160.53,,,,,,,
CBS,2021-01-07 08:20:41.125491,STL,LW,Zach Sanford,15.33,14.73,0.5,0.93,91.41,,,,,,,
CBS,2021-01-07 08:20:41.125491,MON,C,Jonathan Drouin,11.0,20.3,-9.44,7.06,108.06,,,,,,,
CBS,2021-01-07 08:20:41.125491,STL,RW,Austin Poganski,13.36,16.22,2.61,3.51,105.32,,,,,,,
CBS,2021-01-07 08:20:41.125491,LV,RW,Alex Tuch,16.25,12.46,-1.29,5.52,177.03,,,,,,,
CBS,2021-01-07 08:20:41.125491,NJ,RW,Nicholas Merkley,14.24,16.49,-1.54,2.99,101.42,,,,,,,
CBS,2021-01-07 08:20:41.125491,LA,C,Alex Iafallo,12.35,19.13,-0.92,4.52,125.86,,,,,,,
CBS,2021-01-07 08:20:41.125491,VAN,RW,Justin Bailey,12.51,15.19,3.19,3.31,93.52,,,,,,,
CBS,2021-01-07 08:20:41.125491,NJ,LW,Andreas Johnsson,11.09,15.11,5.9,4.27,100.25,,,,,,,
CBS,2021-01-07 08:20:41.125491,PHI,LW,James van Riemsdyk,15.31,14.71,-0.92,3.99,127.34,,,,,,,
