team,age,name,line,ppu,position_yahoo,position,rollup,vorp,adp,pr_vorp,pr_adp,pr_arbitrage,round,goals,assists,powerplay_points,shots_on_goal,hits,blocks,game_winning_goals,wins,save_percentage,saves,shutouts
Bos,29.0,Taylor Hall,2.0,1.0,LW,LW,34.6,-6.8,97.5,15.0,15.0,0.0,9.0,21.375,43.08,16.13,246.98,53.2,32.0,3.4,,,,
Car,,Martin Necas,1.0,2.0,"C,RW",RW,27.3,-12.7,99.4,37.5,16.0,-21.5,9.0,21.135,33.18,10.445,157.155,77.3,39.3,3.7,,,,
Tor,25.0,William Nylander,2.0,2.0,"LW,RW",RW,33.8,-6.3,99.6,16.0,17.0,1.0,9.0,31.23,36.28,14.29,226.375,19.9,20.9,5.9,,,,
StL,33.0,David Perron,1.0,1.0,"LW,RW",RW,35.7,-4.4,101.5,12.0,18.0,6.0,9.0,26.935,42.875,20.225,191.845,64.2,25.7,4.0,,,,
Van,25.0,Thatcher Demko,,,G,G,65.8,-3.7,102.5,17.0,20.0,3.0,9.0,,,,,,,,28.955,0.909,1782.26,3.49
LA,31.0,Drew Doughty,1.0,1.0,D,D,34.8,2.7,102.6,16.0,20.0,4.0,9.0,9.89,35.585,17.815,153.455,146.0,116.0,1.1,,,,
Chi,,Kevin Lankinen,,,G,G,18.8,-50.6,104.4,44.0,21.0,-23.0,9.0,,,,,,,,9.325,0.908,549.785,1.145
Mon,,Cole Caufield,1.0,1.0,RW,RW,27.4,-12.7,105.0,37.5,19.0,-18.5,9.0,27.145,28.405,8.425,220.77,31.4,10.5,5.3,,,,
Dal,37.0,Joe Pavelski,1.0,1.0,"C,RW",C,35.0,-8.0,105.2,22.0,27.0,5.0,9.0,29.805,28.925,16.15,182.25,81.7,57.2,4.4,,,,
NJ,,MacKenzie Blackwood,,,G,G,57.6,-11.8,105.3,21.0,22.0,1.0,9.0,,,,,,,,33.05,0.903,2044.84,4.14
Mon,33.0,Jeff Petry,1.0,1.0,D,D,39.1,7.0,106.0,7.0,21.0,14.0,9.0,14.26,37.33,14.335,184.505,178.4,113.1,2.6,,,,
