Goals,TRUE,,,,,,,,,2021-22 Fantasy Hockey Customizable Rankings,,,,,,,,,,,,,,,,,,,,,,
Assists,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Points,FALSE,,,,,,,,,Starting Goalies,,,https://www.dailyfaceoff.com/starting-goalies/,,,,,,,,,,,,,,,,,,,
Plus/Minus,TRUE,,,,,,,,,Projected Lines,,,https://www.dailyfaceoff.com/teams/,,,,,,,,,,,,,,,,,,,
PIM,FALSE,,,,,,,,,Player News,,,https://www.dailyfaceoff.com/hockey-player-news/,,,,,,,,,,,,,,,,,,,
PPG,FALSE,,,,,,,,,DFO Podcast,,,https://soundcloud.com/dailyfaceoff-podcast,,,,,,,,,,,,,,,,,,,
PPA,FALSE,,,,,,,,,,Twitter,,https://twitter.com/DailyFaceoff,,,,,,,,,,,,,,,,,,,
PPP,TRUE,,,,,,,,,,,Instagram,https://www.instagram.com/dailyfaceoff/,,,,,,,,,,,,,,,,,,,
GWG,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SOG,TRUE,,Step 1:,File > Make a Copy,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ATOI,FALSE,,Step 2:,Check off all scoring categories for your league,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BLK,FALSE,,Step 3:,Check off which site you use for correct Position Eligibility,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HIT,FALSE,,Step 4:,"Sort by ""SCORE"" for rankings customized to your league settings",,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Players,TEAM,Pos,Age,GP,G,A,PTS,(+/-),PIM,EV,PPG,PPA,PPP,GWG,SOG,ATOI,BLK,HIT,G,A,PTS,(+/-),PIM,PPG,PPA,PPP,GWG,SOG,ATOI,BLK,HIT,SCORE
Mackenzie Weegar,FLA,D,28,76.1,9.0,30.2,39.2,10.1,61.6,9.0,0.0,4.1,4.1,1.6,139.2,22.4,126.7,157.5,0.603,0.630,,1.156,,,,-0.420,,0.140,,,,1.530
Kevin Shattenkirk,ANA,D,33,79.4,3.2,22.4,25.6,-10.0,33.3,2.1,1.1,5.1,6.2,0.5,137.7,19.6,89.2,81.0,-1.041,-0.128,,-1.536,,,,-0.144,,0.104,,,,-1.977
Brandon Montour,FLA,D,27,76.5,7.9,18.4,26.3,4.6,46.5,7.7,0.2,2.1,2.3,0.9,135.7,19.7,89.9,81.9,0.291,-0.517,,0.419,,,,-0.656,,0.057,,,,-0.616
Charlie McAvoy,BOS,D,24,76.6,8.1,35.5,43.6,17.3,55.5,6.4,1.7,5.0,6.6,1.4,134.8,24.0,135.8,127.2,0.348,1.145,,2.120,,,,-0.092,,0.036,,,,2.497
Noah Dobson,NYI,D,22,73.5,6.2,22.2,28.4,0.9,18.9,4.9,1.3,7.9,9.1,0.5,134.3,18.4,96.7,69.9,-0.191,-0.148,,-0.076,,,,0.237,,0.024,,,,-0.116
Travis Sanheim,PHI,D,25,80.8,7.5,20.9,28.4,-3.3,32.1,7.1,0.4,2.4,2.8,1.1,132.7,20.7,114.8,54.0,0.178,-0.274,,-0.639,,,,-0.591,,-0.014,,,,-1.020
Ben Chiarot,MTL,D,30,75.4,5.9,12.1,17.9,-4.2,64.3,5.5,0.4,0.5,0.9,1.5,132.3,20.9,114.6,137.3,-0.276,-1.129,,-0.759,,,,-0.840,,-0.023,,,,-2.648
Mike Reilly,BOS,D,28,73.7,2.0,24.1,26.1,1.7,29.3,1.0,1.0,5.3,6.3,0.5,132.3,19.0,67.4,82.9,-1.381,0.037,,0.031,,,,-0.131,,-0.023,,,,-1.483
Damon Severson,NJD,D,27,82.0,7.9,25.2,33.0,-6.6,51.1,6.2,1.7,5.5,7.2,0.9,131.5,22.1,92.7,87.5,0.291,0.144,,-1.081,,,,-0.013,,-0.042,,,,-0.160
Michael Matheson,PIT,D,27,75.0,8.0,16.6,24.6,-1.8,37.4,7.3,0.8,3.5,4.2,1.3,131.2,18.8,84.7,63.9,0.319,-0.692,,-0.438,,,,-0.407,,-0.049,,,,-1.047
Alexandre Carrier,NSH,D,25,77.3,4.5,20.0,24.5,12.1,41.8,3.8,0.7,2.2,2.9,0.5,130.5,20.3,117.2,91.6,-0.673,-0.361,,1.424,,,,-0.577,,-0.066,,,,-0.965
Samuel Girard,COL,D,23,79.3,6.3,35.2,41.5,10.5,19.5,5.6,0.7,12.1,12.8,0.7,130.1,23.2,101.8,64.1,-0.162,1.116,,1.209,,,,0.722,,-0.075,,,,2.206
Esa Lindell,DAL,D,27,80.9,6.6,19.0,25.6,8.9,31.8,5.1,1.5,3.4,4.9,0.9,128.4,23.0,145.2,123.5,-0.077,-0.459,,0.995,,,,-0.315,,-0.115,,,,-0.469
Alex Edler,LAK,D,35,74.4,4.3,19.4,23.7,-1.0,60.1,3.4,0.9,3.8,4.7,0.6,127.2,19.5,153.6,108.8,-0.729,-0.420,,-0.331,,,,-0.341,,-0.144,,,,-1.799
Brett Pesce,CAR,D,27,77.1,6.6,25.1,31.6,14.1,32.6,5.9,0.7,3.3,4.0,0.9,126.5,22.7,121.6,40.7,-0.077,0.134,,1.691,,,,-0.433,,-0.160,,,,0.309
Philippe Myers,NSH,D,25,71.0,4.2,17.4,21.6,2.0,38.7,4.2,0.0,0.0,0.0,0.5,126.3,19.5,71.9,117.2,-0.758,-0.614,,0.071,,,,-0.958,,-0.165,,,,-2.459
Travis Hamonic,VAN,D,31,72.5,5.3,12.1,17.4,2.2,39.3,5.3,0.0,0.0,0.0,0.7,125.5,19.3,141.7,63.7,-0.446,-1.129,,0.098,,,,-0.958,,-0.184,,,,-2.668
Connor Murphy,CHI,D,28,73.5,5.5,16.3,21.8,2.5,42.1,5.3,0.3,0.5,0.8,1.0,124.9,21.2,157.1,147.4,-0.389,-0.721,,0.138,,,,-0.853,,-0.198,,,,-2.092
Joel Edmundson,MTL,D,28,79.7,5.7,15.1,20.7,7.3,67.7,5.7,0.0,0.0,0.0,0.7,122.9,20.6,117.0,145.4,-0.333,-0.838,,0.781,,,,-0.958,,-0.245,,,,-1.983
Alex Romanov,MTL,D,22,79.1,3.5,12.2,15.7,1.3,34.8,3.0,0.5,3.3,3.8,0.5,121.0,19.0,97.5,198.6,-0.956,-1.120,,-0.023,,,,-0.459,,-0.290,,,,-2.836
Ty Smith,NJD,D,21,74.7,5.5,31.2,36.7,-7.8,34.6,3.3,2.3,8.1,10.4,0.5,120.1,20.3,64.9,58.6,-0.389,0.727,,-1.241,,,,0.407,,-0.311,,,,-0.187
Duncan Keith,EDM,D,38,80.0,4.2,19.7,23.9,0.8,43.5,3.7,0.5,3.4,3.9,0.9,119.9,19.9,115.2,39.6,-0.758,-0.391,,-0.090,,,,-0.446,,-0.316,,,,-1.955
Rasmus Ristolainen,PHI,D,27,78.5,4.5,22.7,27.2,-7.1,39.4,3.9,0.7,6.2,6.9,0.9,119.5,19.4,91.8,213.5,-0.673,-0.099,,-1.148,,,,-0.052,,-0.325,,,,-1.723
Alec Martinez,VGK,D,34,76.8,8.6,27.2,35.8,12.6,22.1,6.9,1.8,7.5,9.2,1.4,118.2,22.4,214.2,67.9,0.489,0.338,,1.491,,,,0.250,,-0.356,,,,1.467
