Players,TEAM,Pos,FanTrax,Yahoo,ESPN,Age,GP,G,A,PTS,(+/-),PIM,EV,PPG,PPA,PPP,GWG,SOG,ATOI,BLK,HIT,G,A,PTS,(+/-),PIM,PPG,PPA,PPP,GWG,SOG,ATOI,BLK,HIT,SCORE
Jonathan Toews,CHI,C,C,C,C,32,73.0,22.8,39.0,61.7,-0.7,41.1,18.7,4.1,9.9,14.0,3.8,189.4,19.7,33.0,46.2,0.366,0.990,,-0.184,,,,0.367,0.463,0.562,,-0.133,-0.681,1.843
Ryan Strome,NYR,C/RW,C,C/RW,C,28,82.0,18.1,40.3,58.5,7.2,55.4,14.4,3.7,13.8,17.5,2.6,164.1,18.3,33.1,48.5,-0.242,1.099,,0.871,,,,0.781,-0.316,0.040,,-0.125,-0.632,1.039
Oliver Bjorkstrand,CBJ,LW/RW,RW,LW/RW,RW,26,79.1,28.9,30.2,59.1,-4.7,22.9,25.0,3.9,5.2,9.1,4.4,222.4,17.8,36.6,63.4,1.156,0.256,,-0.717,,,,-0.213,0.853,1.243,,0.155,-0.320,2.771
Nick Suzuki,MTL,C/RW,C,C/RW,C,22,82.0,21.6,38.7,60.3,-6.3,24.8,14.8,6.8,12.2,19.0,2.6,180.2,18.9,51.7,103.3,0.211,0.965,,-0.931,,,,0.959,-0.316,0.372,,1.363,0.515,3.603
Jesse Puljujarvi,EDM,RW,RW,RW,RW,23,80.0,25.1,23.4,48.5,6.0,32.3,20.1,5.0,4.7,9.7,1.0,233.0,21.0,40.4,203.9,0.664,-0.311,,0.710,,,,-0.142,-1.356,1.462,,0.459,2.621,3.752
Tyler Toffoli,MTL,LW/RW,RW,LW/RW,RW,29,79.3,27.5,22.6,50.1,0.2,28.2,21.0,6.5,5.1,11.6,4.3,226.6,16.9,18.6,81.7,0.975,-0.378,,-0.063,,,,0.083,0.788,1.330,,-1.285,0.063,1.543
Dylan Larkin,DET,C,C,C,C,25,77.5,21.2,35.2,56.4,-9.6,55.5,17.3,4.0,8.1,12.1,2.7,243.4,20.6,38.5,67.2,0.159,0.673,,-1.371,,,,0.142,-0.251,1.677,,0.307,-0.241,1.780
Timo Meier,SJS,LW/RW,RW,LW/RW,RW,25,80.2,23.6,31.1,54.7,-4.9,43.9,19.6,4.0,7.3,11.2,2.3,234.0,16.7,39.5,129.1,0.470,0.331,,-0.744,,,,0.036,-0.511,1.483,,0.387,1.055,2.878
Anders Lee,NYI,LW,LW,LW,LW,31,77.5,27.0,22.8,49.7,5.2,46.4,19.6,7.4,5.1,12.5,4.4,205.0,17.5,43.8,101.1,0.910,-0.361,,0.604,,,,0.189,0.853,0.884,,0.731,0.469,3.977
Andre Burakovsky,COL,LW/RW,LW,LW/RW,LW,26,73.4,23.6,32.8,56.4,9.1,21.8,19.1,4.5,12.8,17.3,3.9,142.9,15.8,31.8,36.0,0.470,0.473,,1.124,,,,0.758,0.528,-0.398,,-0.229,-0.894,1.270
Patric Hornqvist,FLA,RW,RW,RW,RW,35,70.9,22.1,22.7,44.8,2.2,41.1,13.0,9.1,6.9,16.0,2.5,222.5,16.7,43.5,131.8,0.276,-0.370,,0.203,,,,0.604,-0.381,1.245,,0.707,1.112,3.294
Pavel Buchnevich,STL,RW,RW,RW,RW,26,78.9,24.0,34.8,58.8,1.2,33.5,18.8,5.3,9.7,15.0,3.3,170.6,17.6,34.7,76.3,0.522,0.640,,0.070,,,,0.485,0.138,0.174,,0.003,-0.050,1.947
